date,net_sales,gross_total,vat,discount,quantity,line_items,transactions,customers,products,families,classes,return_line_share,baseline28_daily,future7_sales,future_ratio,target,mean7,recent7_28,simple_risk
2023-09-05,41474.54,47695.729999999996,6221.19,-3976.4100000000003,23.0,22.0,18.0,5.0,19.0,5.0,11.0,0.0,35323.16214285714,185358.88999999998,0.7496452701906825,1.0,29740.967142857146,0.8419678573106232,-0.8419678573106232
2023-09-06,30113.07,34629.99,4516.92,-1221.72,24.0,18.0,11.0,5.0,12.0,3.0,6.0,0.0,33412.9875,160807.55000000002,0.6875322699850512,1.0,26065.87142857143,0.7801119677960981,-0.7801119677960981
2023-09-07,23657.07,27205.6,3548.5299999999997,-3486.14,15.0,15.0,12.0,7.0,14.0,5.0,10.0,0.0,31073.28678571429,141713.98,0.6515195648701607,1.0,25652.54,0.8255496168430294,-0.8255496168430294
2023-09-08,11905.78,13691.66,1785.88,-2045.1399999999999,10.0,10.0,6.0,2.0,10.0,3.0,6.0,0.0,31266.350000000002,129808.2,0.5930986050955283,1.0,27353.365714285716,0.8748499813469022,-0.8748499813469022
2023-09-09,9864.33,11343.95,1479.62,-391.33,9.0,8.0,4.0,2.0,7.0,1.0,2.0,0.0,30760.162857142856,127703.0,0.5930815710895828,1.0,25984.049999999996,0.8447305731336923,-0.8447305731336923
2023-09-10,60568.17,69653.43,9085.26,-12072.529999999999,58.0,39.0,21.0,4.0,34.0,5.0,11.0,0.02564102564102564,31321.803214285716,85229.64,0.38872802992356453,1.0,29987.58142857143,0.9574027786144268,-0.9574027786144268
2023-09-11,37356.16,42959.55,5603.39,-9138.060000000001,27.0,27.0,21.0,4.0,23.0,5.0,11.0,0.1111111111111111,31334.76357142857,67956.88,0.3098196573960336,1.0,30705.588571428572,0.9799208633387076,-0.9799208633387076
2023-09-12,11894.310000000001,13678.45,1784.14,-1263.94,8.0,6.0,5.0,2.0,5.0,3.0,3.0,0.0,30336.702857142856,66973.19,0.31538030406543854,1.0,26479.84142857143,0.8728648447152089,-0.8728648447152089
2023-09-13,5561.73,6396.0,834.2700000000001,-3260.88,1.0,20.0,9.0,3.0,17.0,4.0,6.0,0.45,30059.030714285713,143068.89,0.6799425121658829,1.0,22972.507142857146,0.7642464376583953,-0.7642464376583953
2023-09-14,4563.5,5248.02,684.52,-1884.3300000000002,6.0,6.0,4.0,2.0,6.0,3.0,4.0,0.0,28409.120357142856,252423.09000000003,1.2693262225384185,0.0,20244.854285714286,0.7126181321775475,-0.7126181321775475
2023-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28296.603928571425,279849.12,1.4128354701222288,0.0,18544.028571428575,0.6553446702734685,-0.6553446702734685
2023-09-16,7759.13,8923.03,1163.8999999999999,-365.22,9.0,9.0,6.0,3.0,9.0,3.0,8.0,0.0,27513.636428571426,284430.39,1.4768281525646596,0.0,18243.285714285714,0.663063414450772,-0.663063414450772
2023-09-17,18094.81,20809.03,2714.22,-1547.78,13.0,15.0,12.0,2.0,12.0,4.0,9.0,0.06666666666666667,27476.50285714286,307899.47000000003,1.6008455952389866,0.0,12175.66285714286,0.44313000531571084,-0.44313000531571084
2023-09-18,20083.4,23095.95,3012.55,-4104.3,17.0,15.0,12.0,4.0,14.0,4.0,9.0,0.0,27818.921785714287,365385.44,1.8763459059295726,0.0,9708.125714285716,0.34897562849725833,-0.34897562849725833
2023-09-19,10910.619999999999,12547.2,1636.58,-3983.3,13.0,13.0,10.0,3.0,11.0,4.0,8.0,0.0,27603.75178571429,423418.43,2.1913089065726763,0.0,9567.598571428573,0.3466050066563804,-0.3466050066563804
2023-09-20,81657.43000000001,93906.06,12248.63,-24807.739999999998,76.0,69.0,43.0,3.0,39.0,4.0,16.0,0.028985507246376812,29208.16107142857,380559.18999999994,1.8613153508184739,0.0,20438.41285714286,0.6997500735209147,-0.6997500735209147
2023-09-21,113917.7,131005.35,17087.65,-27304.33,104.0,73.0,44.0,5.0,46.0,4.0,14.0,0.0547945205479452,33043.048571428575,315937.97,1.3659150007518328,0.0,36060.44142857143,1.0913170239307735,-1.0913170239307735
2023-09-22,27426.03,31539.92,4113.889999999999,-6671.24,19.0,19.0,17.0,2.0,14.0,3.0,7.0,0.0,33580.25178571428,292987.6,1.2464281594927633,0.0,39978.44571428571,1.1905344239048665,-1.1905344239048665
2023-09-23,12340.4,14191.470000000001,1851.0700000000002,-3205.18,15.0,13.0,10.0,1.0,13.0,3.0,9.0,0.0,33005.90892857143,432399.68999999994,1.8715250175171554,0.0,40632.91285714286,1.2310799543523294,-1.2310799543523294
2023-09-24,41563.89,47798.44,6234.55,-12394.61,40.0,39.0,33.0,2.0,22.0,4.0,13.0,0.0,31194.88535714286,404607.98999999993,1.8529044350322124,0.0,43985.638571428564,1.4100272550402861,-1.4100272550402861
2023-09-25,77569.37,89204.71,11635.34,-27692.97,76.0,69.0,38.0,7.0,44.0,4.0,13.0,0.028985507246376812,29573.824285714283,396970.42,1.9175761461257463,0.0,52197.91999999999,1.7650040622312868,-1.7650040622312868
2023-09-26,68943.61,79285.2,10341.59,-11106.29,78.0,55.0,30.0,4.0,39.0,4.0,12.0,0.01818181818181818,31569.18857142857,349036.28,1.5794617464261718,0.0,60488.34714285714,1.91605644237564,-1.91605644237564
2023-09-27,38798.19,44617.89,5819.7,-15067.06,45.0,44.0,20.0,4.0,28.0,4.0,11.0,0.0,30960.597500000003,342084.1,1.5784306857403878,0.0,54365.59857142857,1.7559608974416132,-1.7559608974416132
2023-09-28,49296.479999999996,56690.87,7394.39,-30579.86,48.0,54.0,34.0,6.0,40.0,4.0,13.0,0.18518518518518517,31772.95785714286,307433.56,1.3822786092962565,0.0,45133.99571428571,1.4205160223740128,-1.4205160223740128
